field,date,product,volume,unit
SNORRE,2009-05-01,Gas,0.13621,bill_sm3
SNORRE,2009-06-01,Gas,0.11584,bill_sm3
SNORRE,2009-07-01,Gas,0.13249,bill_sm3
SNORRE,2009-08-01,Gas,0.10623,bill_sm3
SNORRE,2009-09-01,Gas,0.03508,bill_sm3
SNORRE,2009-10-01,Gas,0.09526,bill_sm3
SNORRE,2009-11-01,Gas,0.1237,bill_sm3
SNORRE,2009-12-01,Gas,0.15642,bill_sm3
SNORRE,2010-01-01,Gas,0.15755,bill_sm3
SNORRE,2010-02-01,Gas,0.13163,bill_sm3
SNORRE,2010-03-01,Gas,0.15501,bill_sm3
SNORRE,2010-04-01,Gas,0.13314,bill_sm3
SNORRE,2010-05-01,Gas,0.10824,bill_sm3
SNORRE,2010-06-01,Gas,0.14089,bill_sm3
SNORRE,2010-07-01,Gas,0.14586,bill_sm3
SNORRE,2010-08-01,Gas,0.06936,bill_sm3
SNORRE,2010-09-01,Gas,0.06167,bill_sm3
SNORRE,2010-10-01,Gas,0.12542,bill_sm3
SNORRE,2010-11-01,Gas,0.12351,bill_sm3
SNORRE,2010-12-01,Gas,0.12134,bill_sm3
SNORRE,2011-01-01,Gas,0.11845,bill_sm3
SNORRE,2011-02-01,Gas,0.11833,bill_sm3
SNORRE,2011-03-01,Gas,0.15177,bill_sm3
SNORRE,2011-04-01,Gas,0.12122,bill_sm3
SNORRE,2011-05-01,Gas,0.0987,bill_sm3
SNORRE,2011-06-01,Gas,0.1008,bill_sm3
SNORRE,2011-07-01,Gas,0.12402,bill_sm3
SNORRE,2011-08-01,Gas,0.06914,bill_sm3
SNORRE,2011-09-01,Gas,0.07078,bill_sm3
SNORRE,2011-10-01,Gas,0.12547,bill_sm3
SNORRE,2011-11-01,Gas,0.11615,bill_sm3
SNORRE,2011-12-01,Gas,0.11921,bill_sm3
SNORRE,2012-01-01,Gas,0.11259,bill_sm3
SNORRE,2012-02-01,Gas,0.1145,bill_sm3
SNORRE,2012-03-01,Gas,0.11074,bill_sm3
SNORRE,2012-04-01,Gas,0.11246,bill_sm3
SNORRE,2012-05-01,Gas,0.12701,bill_sm3
SNORRE,2012-06-01,Gas,0.12593,bill_sm3
SNORRE,2012-07-01,Gas,0.12983,bill_sm3
SNORRE,2012-08-01,Gas,0.11129,bill_sm3
SNORRE,2012-09-01,Gas,0.0876,bill_sm3
SNORRE,2012-10-01,Gas,0.11485,bill_sm3
SNORRE,2012-11-01,Gas,0.09285,bill_sm3
SNORRE,2012-12-01,Gas,0.12017,bill_sm3
SNORRE,2013-01-01,Gas,0.09495,bill_sm3
SNORRE,2013-02-01,Gas,0.09095,bill_sm3
SNORRE,2013-03-01,Gas,0.09752,bill_sm3
SNORRE,2013-04-01,Gas,0.10573,bill_sm3
SNORRE,2013-05-01,Gas,0.10637,bill_sm3
SNORRE,2013-06-01,Gas,0.11863,bill_sm3
SNORRE,2013-07-01,Gas,0.13353,bill_sm3
SNORRE,2013-08-01,Gas,0.1398,bill_sm3
SNORRE,2013-09-01,Gas,0.14229,bill_sm3
SNORRE,2013-10-01,Gas,0.14748,bill_sm3
SNORRE,2013-11-01,Gas,0.15427,bill_sm3
SNORRE,2013-12-01,Gas,0.1085,bill_sm3
SNORRE,2014-01-01,Gas,0.16412,bill_sm3
SNORRE,2014-02-01,Gas,0.14073,bill_sm3
SNORRE,2014-03-01,Gas,0.15673,bill_sm3
SNORRE,2014-04-01,Gas,0.12447,bill_sm3
SNORRE,2014-05-01,Gas,0.10927,bill_sm3
SNORRE,2014-06-01,Gas,0.05896,bill_sm3
SNORRE,2014-07-01,Gas,0.14299,bill_sm3
SNORRE,2014-08-01,Gas,0.16198,bill_sm3
SNORRE,2014-09-01,Gas,0.17761,bill_sm3
SNORRE,2014-10-01,Gas,0.15869,bill_sm3
SNORRE,2014-11-01,Gas,0.13932,bill_sm3
SNORRE,2014-12-01,Gas,0.15133,bill_sm3
SNORRE,2015-01-01,Gas,0.18407,bill_sm3
SNORRE,2015-02-01,Gas,0.15895,bill_sm3
SNORRE,2015-03-01,Gas,0.18707,bill_sm3
SNORRE,2015-04-01,Gas,0.17091,bill_sm3
SNORRE,2015-05-01,Gas,0.11102,bill_sm3
SNORRE,2015-06-01,Gas,0.16361,bill_sm3
SNORRE,2015-07-01,Gas,0.17242,bill_sm3
SNORRE,2015-08-01,Gas,0.18474,bill_sm3
SNORRE,2015-09-01,Gas,0.1662,bill_sm3
SNORRE,2015-10-01,Gas,0.19045,bill_sm3
SNORRE,2015-11-01,Gas,0.15233,bill_sm3
SNORRE,2015-12-01,Gas,0.1612,bill_sm3
SNORRE,2016-01-01,Gas,0.1591,bill_sm3
SNORRE,2016-02-01,Gas,0.17317,bill_sm3
SNORRE,2016-03-01,Gas,0.16966,bill_sm3
SNORRE,2016-04-01,Gas,0.18614,bill_sm3
SNORRE,2016-05-01,Gas,0.17088,bill_sm3
SNORRE,2016-06-01,Gas,0.17841,bill_sm3
SNORRE,2016-07-01,Gas,0.17025,bill_sm3
SNORRE,2016-08-01,Gas,0.16368,bill_sm3
SNORRE,2016-09-01,Gas,0.14335,bill_sm3
SNORRE,2016-10-01,Gas,0.12855,bill_sm3
SNORRE,2016-11-01,Gas,0.16703,bill_sm3
SNORRE,2016-12-01,Gas,0.17118,bill_sm3
SNORRE,2017-01-01,Gas,0.16624,bill_sm3
SNORRE,2017-02-01,Gas,0.15568,bill_sm3
SNORRE,2017-03-01,Gas,0.16827,bill_sm3
SNORRE,2017-04-01,Gas,0.16673,bill_sm3
SNORRE,2017-05-01,Gas,0.16571,bill_sm3
SNORRE,2017-06-01,Gas,0.15951,bill_sm3
SNORRE,2017-07-01,Gas,0.14411,bill_sm3
SNORRE,2017-08-01,Gas,0.07779,bill_sm3
SNORRE,2017-09-01,Gas,0.06512,bill_sm3
SNORRE,2017-10-01,Gas,0.13629,bill_sm3
SNORRE,2017-11-01,Gas,0.14311,bill_sm3
SNORRE,2017-12-01,Gas,0.1422,bill_sm3
SNORRE,2018-01-01,Gas,0.14576,bill_sm3
SNORRE,2018-02-01,Gas,0.13046,bill_sm3
SNORRE,2018-03-01,Gas,0.13888,bill_sm3
SNORRE,2018-04-01,Gas,0.14631,bill_sm3
SNORRE,2018-05-01,Gas,0.16321,bill_sm3
SNORRE,2018-06-01,Gas,0.1597,bill_sm3
SNORRE,2018-07-01,Gas,0.15986,bill_sm3
SNORRE,2018-08-01,Gas,0.15943,bill_sm3
SNORRE,2018-09-01,Gas,0.14052,bill_sm3
SNORRE,2018-10-01,Gas,0.14932,bill_sm3
SNORRE,2018-11-01,Gas,0.15231,bill_sm3
SNORRE,2018-12-01,Gas,0.14723,bill_sm3
SNORRE,2019-01-01,Gas,0.1589,bill_sm3
SNORRE,2019-02-01,Gas,0.1461,bill_sm3
SNORRE,2019-03-01,Gas,0.12002,bill_sm3
SNORRE,2019-04-01,Gas,0.10548,bill_sm3
SNORRE,2019-05-01,Gas,0.09853,bill_sm3
SNORRE,2019-06-01,Gas,0.01225,bill_sm3
SNORRE,2019-07-01,Gas,0.12046,bill_sm3
SNORRE,2019-08-01,Gas,0.12107,bill_sm3
SNORRE,2019-09-01,Gas,0.1343,bill_sm3
SNORRE,2019-10-01,Gas,0.12435,bill_sm3
SNORRE,2019-11-01,Gas,0.1094,bill_sm3
SNORRE,2019-12-01,Gas,0.114,bill_sm3
SNORRE,2020-01-01,Gas,0.10721,bill_sm3
SNORRE,2020-02-01,Gas,0.11071,bill_sm3
SNORRE,2020-03-01,Gas,0.09363,bill_sm3
SNORRE,2020-04-01,Gas,0.10636,bill_sm3
SNORRE,2020-05-01,Gas,0.13175,bill_sm3
SNORRE,2020-06-01,Gas,0.13925,bill_sm3
SNORRE,2020-07-01,Gas,0.17225,bill_sm3
SNORRE,2020-08-01,Gas,0.1555,bill_sm3
SNORRE,2020-09-01,Gas,0.12191,bill_sm3
SNORRE,2020-10-01,Gas,0.03177,bill_sm3
SNORRE,2020-11-01,Gas,0.04534,bill_sm3
SNORRE,2020-12-01,Gas,0.16409,bill_sm3
SNORRE,2021-01-01,Gas,0.20586,bill_sm3
SNORRE,2021-02-01,Gas,0.19002,bill_sm3
SNORRE,2021-03-01,Gas,0.17377,bill_sm3
SNORRE,2021-04-01,Gas,0.19852,bill_sm3
SNORRE,2021-05-01,Gas,0.13882,bill_sm3
SNORRE,2021-06-01,Gas,0.1786,bill_sm3
SNORRE,2021-07-01,Gas,0.19611,bill_sm3
SNORRE,2021-08-01,Gas,0.18182,bill_sm3
SNORRE,2021-09-01,Gas,0.17465,bill_sm3
SNORRE,2021-10-01,Gas,0.18179,bill_sm3
SNORRE,2021-11-01,Gas,0.16589,bill_sm3
SNORRE,2021-12-01,Gas,0.19359,bill_sm3
SNORRE,2022-01-01,Gas,0.16947,bill_sm3
SNORRE,2022-02-01,Gas,0.13749,bill_sm3
SNORRE,2022-03-01,Gas,0.19479,bill_sm3
SNORRE,2022-04-01,Gas,0.19356,bill_sm3
SNORRE,2022-05-01,Gas,0.18048,bill_sm3
SNORRE,2022-06-01,Gas,0.1699,bill_sm3
SNORRE,2022-07-01,Gas,0.15453,bill_sm3
SNORRE,2022-08-01,Gas,0.14908,bill_sm3
SNORRE,2022-09-01,Gas,0.14819,bill_sm3
SNORRE,2022-10-01,Gas,0.16899,bill_sm3
SNORRE,2022-11-01,Gas,0.17332,bill_sm3
SNORRE,2022-12-01,Gas,0.18887,bill_sm3
SNORRE,2023-01-01,Gas,0.17062,bill_sm3
SNORRE,2023-02-01,Gas,0.1575,bill_sm3
SNORRE,2023-03-01,Gas,0.12968,bill_sm3
SNORRE,2023-04-01,Gas,0.13128,bill_sm3
SNORRE,2023-05-01,Gas,0.1477,bill_sm3
SNORRE,2023-06-01,Gas,0.14185,bill_sm3
SNORRE,2023-07-01,Gas,0.13104,bill_sm3
SNORRE,2023-08-01,Gas,0.17216,bill_sm3
SNORRE,2023-09-01,Gas,0.17599,bill_sm3
SNORRE,2023-10-01,Gas,0.15771,bill_sm3
SNORRE,2023-11-01,Gas,0.14797,bill_sm3
SNORRE,2023-12-01,Gas,0.17127,bill_sm3
SNORRE,2024-01-01,Gas,0.14774,bill_sm3
SNORRE,2024-02-01,Gas,0.13705,bill_sm3
SNORRE,2024-03-01,Gas,0.16027,bill_sm3
SNORRE,2024-04-01,Gas,0.15821,bill_sm3
SNORRE,2024-05-01,Gas,0.03938,bill_sm3
SNORRE,2024-06-01,Gas,0.15701,bill_sm3
SNORRE,2024-07-01,Gas,0.17412,bill_sm3
SNORRE,2024-08-01,Gas,0.1765,bill_sm3
SNORRE,2024-09-01,Gas,0.17549,bill_sm3
SNORRE,2024-10-01,Gas,0.17776,bill_sm3
SNORRE,2024-11-01,Gas,0.15346,bill_sm3
SNORRE,2024-12-01,Gas,0.15331,bill_sm3
SNORRE,2025-01-01,Gas,0.14714,bill_sm3
SNORRE,2025-02-01,Gas,0.15136,bill_sm3
SNORRE,2025-03-01,Gas,0.14416,bill_sm3
SNORRE,2025-04-01,Gas,0.17096,bill_sm3
SNORRE,2025-05-01,Gas,0.14909,bill_sm3
SNØHVIT,2007-08-01,Gas,0.1199,bill_sm3
SNØHVIT,2007-09-01,Gas,0.31052,bill_sm3
SNØHVIT,2007-10-01,Gas,0.28228,bill_sm3
SNØHVIT,2007-11-01,Gas,0.11818,bill_sm3
SNØHVIT,2008-01-01,Gas,0.07938,bill_sm3
SNØHVIT,2008-02-01,Gas,0.34708,bill_sm3
SNØHVIT,2008-03-01,Gas,0.20835,bill_sm3
SNØHVIT,2008-04-01,Gas,0.21608,bill_sm3
SNØHVIT,2008-05-01,Gas,0.09954,bill_sm3
SNØHVIT,2008-07-01,Gas,0.25691,bill_sm3
SNØHVIT,2008-08-01,Gas,0.43305,bill_sm3
SNØHVIT,2008-09-01,Gas,0.51241,bill_sm3
SNØHVIT,2008-10-01,Gas,0.07696,bill_sm3
SNØHVIT,2008-11-01,Gas,0.52771,bill_sm3
SNØHVIT,2008-12-01,Gas,0.5469,bill_sm3
SNØHVIT,2009-01-01,Gas,0.41578,bill_sm3
